rank	concept	char	languages	english
848	06917083-n	+	80	Quechua
849	07751004-n	エ	80	peach
850	07782365-n	選	80	octopus
851	07942152-n	ग	80	people
852	08871007-n	ள	80	England
853	09468604-n	성	80	valley
854	09494388-n	었	80	dragon
855	10485440-n	와	80	tart
856	10609325-n	ක	80	slave
857	12142085-n	ম	80	wheat
858	14814616-n	並	80	coal
859	00049220-r	室	79	now
860	00681930-a	弘	79	deaf
861	02041246-n	次	79	mew
862	02203249-a	王	79	ninth
863	03282295-n	由	79	embassy
864	03540595-n	色	79	hospital
865	03661043-n	የ	79	library
866	04511002-n	ស	79	uni
867	05395690-n	波	79	stomach
868	05540121-n	種	79	skull
869	06352782-n	表	79	Devanagari
870	06974390-n	나	79	Tajik
871	07767847-n	도	79	pear
872	08794798-n	체	79	Jerusalem
873	09022831-n	۵	79	Latin
874	09217230-n	უ	79	beach
875	09303008-n	സ	79	hill
876	09369169-n	ன	79	nest
877	09385911-n	師	79	part
878	09859152-n	Э	79	blacksmith
879	10499355-n	ब	79	queen
880	11875691-n	φ	79	cole
881	14039534-n	మ	79	hunger
882	14040660-n	ำ	79	thirst
883	14802450-n	며	79	steel
884	00273082-a	입	78	dark
885	00457998-a	”	78	bare
886	02906734-n	《	78	broom
887	04967191-n	》	78	green
888	06927128-n	ए	78	Kazakh
889	07647496-n	게	78	partridge
890	08420278-n	ほ	78	bank
891	08489497-n	プ	78	here
892	08565506-n	塩	78	heaven
893	09286630-n	戸	78	Ganges
894	11450566-n	施	78	electricity
895	11475279-n	活	78	lightning
896	12724942-n	漁	78	withy
897	13134947-n	駅	78	fruit
898	14854581-n	ò	78	crap
899	00024073-r	데	77	not
900	00609100-v	모	77	forget
901	00784727-v	取	77	ask
902	01670092-n	岡	77	shellpad
903	01972298-v	採	77	drop
904	02410855-v	業	77	work
905	02614387-v	賀	77	live
906	02692232-n	က	77	airport
907	02728440-n	ല	77	dress
908	03481172-n	修	77	hammer
909	04105068-n	区	77	roof
910	04127904-n	形	77	sail
911	04971928-n	設	77	brown
912	05547508-n	館	77	throat
913	05769062-n	交	77	nightmare
914	05999797-n	何	77	science
915	06431740-n	右	77	Bible
916	07675627-n	干	77	sausage
917	08405603-n	面	77	kingdom
918	08709038-n	首	77	Caribbean
919	08873622-n	鬼	77	London
920	08952628-n	ම	77	Faroe
921	09351408-n	দ	77	Mercury
922	10734394-n	러	77	twin
923	12896000-n	ው	77	eggplant
924	14839846-n	শ	77	dust
925	00020759-r	ട	76	never
926	00417413-a	β	76	clean
927	01926311-v	ώ	76	run
928	02068974-n	ប	76	dolphin
929	02077656-v	ក	76	bring
930	02157557-n	ត	76	tail
931	02547586-v	장	76	aid
932	02807731-n	출	76	bath
933	04968895-n	ș	76	blue
934	06878071-n	ฝ	76	grin
935	06938386-n	ս	76	Maori
936	06938623-n	ट	76	Fijian
937	07614500-n	オ	76	ice cream
938	07751451-n	グ	76	plum
939	08711143-n	ケ	76	Bouvet
940	08760393-n	ナ	76	Northern
941	08858942-n	ネ	76	Great Britain
942	09019194-n	ポ	76	Tiflis
943	09112282-n	丸	76	Jersey
944	09350045-n	典	76	''The Sea''
945	09538544-n	厚	76	Allah
946	14127782-n	旧	76	AIDS
947	14540765-n	曲	76	danger
948	14682133-n	武	76	molecule
949	14855724-n	注	76	pee
950	00019339-r	登	75	ever
951	00047534-r	盛	75	eke
952	00108647-r	示	75	here
953	00181781-n	穂	75	election
954	00584367-n	般	75	work
955	00588888-v	菜	75	understand
956	01148283-a	ய	75	happy
957	01325417-n	င	75	horn
958	01518878-n	倉	75	ostrich
959	01838598-n	弟	75	picid
960	01887896-n	献	75	calf
961	02118242-v	男	75	dream
962	02930766-n	공	75	cab
963	03417345-n	했	75	garden
964	06099269-n	最	75	electronics
965	08095647-n	羅	75	Islam
966	08544813-n	య	75	land
967	09503282-n	ő	75	witch
968	09989502-n	լ	75	dancer
969	12620196-n	ľ	75	rose
970	12992868-n	ద	75	mold
971	14645346-n	专	75	mercury
972	00173220-a	丘	74	pregnant
973	00455599-n	为	74	game
974	00948071-v	产	74	count
975	01083157-a	其	74	full
976	01437254-v	办	74	emit
977	01823013-n	區	74	cuckoo
978	02202712-a	双	74	fifth
979	02948072-n	因	74	taper
980	03804744-n	处	74	nail
981	05121418-n	巴	74	number
982	05262185-n	收	74	moustache
983	05554653-n	档	74	tit
984	05556595-n	皇	74	navel
985	06217103-n	納	74	democracy
986	06532330-n	组	74	law
987	06952705-n	职	74	Flemish
988	06978656-n	股	74	Abkhazian
989	07757132-n	被	74	cherry
990	08191230-n	該	74	army
991	08521623-n	语	74	cemetery
992	08887716-n	鍬	74	Isle
993	09018030-n	银	74	Yerevan
994	10470779-n	霍	74	priest
995	10627082-n	韋	74	soul
996	11083656-n	頓	74	Christ
997	11454591-n	魏	74	flood
998	13866144-n	黑	74	polygon
999	13883346-n	ظ	74	oblong
1000	14046202-n	ත	74	maternity
1001	14239918-n	Ш	74	cancer
1002	14447908-n	天	74	health
1003	00138221-n	将	73	kiss
1004	00345761-v	ț	73	get
1005	00744916-a	애	73	hard
1006	00962722-n	월	73	revolution
1007	01207609-n	유	73	aid
1008	01582220-n	भ	73	magpie
1009	01687167-a	১	73	new
1010	01976957-n	ද	73	crab
1011	02164464-n	డ	73	bug
1012	02251743-v	및	73	pay
1013	02561888-a	원	73	narrow
1014	02764044-n	ය	73	axe
1015	02928608-n	յ	73	button
1016	03030663-n	ญ	73	cig
1017	03262349-n	동	73	earring
1018	03740161-n	_	73	medicine
1019	04965179-n	ך	73	orange
1020	07737745-n	Ч	73	goober
1021	07828987-n	ម	73	vinegar
1022	09223177-n	Α	73	black hole
1023	10665698-n	Π	73	pupil
1024	11465530-n	ል	73	hail
1025	13879320-n	ሳ	73	trigon
1026	13901585-n	ガ	73	bead
1027	13931145-n	ギ	73	friendship
1028	13963970-n	チ	73	union
1029	14637864-n	ベ	73	francium
1030	14658855-n	二	73	tin
1031	15032376-n	保	73	poison
1032	00829107-v	回	72	teach
1033	01061489-a	域	72	free
1034	01535246-v	帯	72	wash
1035	01806567-n	瀬	72	quail
1036	02008041-n	篠	72	heron
1037	02202307-a	級	72	3rd
1038	02547317-a	自	72	wet
1039	02641463-v	薬	72	wait
1040	03512147-n	込	72	copter
1041	04446276-n	開	72	can
1042	04548362-n	類	72	wallet
1043	06352117-n	발	72	Armenian
1044	06927228-n	റ	72	Tatar
1045	06938493-n	冷	72	Hawaiian
1046	06972874-n	告	72	Kashmiri
1047	07452074-n	奥	72	wedding
1048	09018426-n	氏	72	Baku
1049	09358358-n	流	72	Luna
1050	09472597-n	状	72	volcano
1051	09545976-n	環	72	ghost
1052	10725280-n	約	72	translator
1053	13162297-n	院	72	bark
1054	13873502-n	ദ	72	circle
1055	14650807-n	力	72	potassium
1056	14659211-n	學	72	titanium
1057	14966667-n	心	72	oil
1058	15098161-n	限	72	wood
1059	00478262-n	馬	71	soccer
1060	01269073-a	ड	71	hungry
1061	01543123-v	경	71	sit
1062	01826723-v	능	71	hope
1063	02130524-v	상	71	look
1064	02949691-n	ろ	71	cannabis
1065	04070727-n	Đ	71	fridge
1066	04965661-n	ầ	71	yellow
1067	06095022-n	ถ	71	astronomy
1068	06226057-n	安	71	Christianity
1069	07086518-n	గ	71	beat
1070	08621598-n	값	71	place
1071	09028841-n	안	71	Gibraltar
1072	09229709-n	ế	71	bubble
1073	09918554-n	ố	71	baby
1074	10384392-n	ờ	71	orphan
1075	10560637-n	კ	71	scientist
1076	12907465-n	Ц	71	tobacco
1077	13656520-n	ង	71	light year
1078	14024882-n	৯	71	sleep
1079	14628920-n	참	71	argon
1080	14632129-n	포	71	muride
1081	14646610-n	행	71	nickel
1082	14660443-n	æ	71	uranium
1083	14834132-n	別	71	dew
1084	15165490-n	ซ	71	noon
1085	00480993-n	개	70	hoops
1086	01247240-a	반	70	hot
1087	02391994-n	చ	70	rhinoceros
1088	02444819-n	과	70	otter
1089	02447366-n	І	70	badger
1090	03467517-n	〈	70	guitar
1091	03908204-n	〉	70	pencil
1092	05314919-n	ザ	70	eyelash
1093	05526713-n	セ	70	cock
1094	06362792-n	ヤ	70	Braille
1095	06940001-n	ョ	70	Tagalog
1096	06968174-n	優	70	Romansh
1097	06996894-n	協	70	Wolof
1098	07397355-n	土	70	thunder
1099	08785343-n	栗	70	Athens
1100	09024972-n	湯	70	Canary
1101	09450454-n	皮	70	sun
1102	14285662-n	穀	70	harm
1103	14642916-n	節	70	krypton
1104	14649543-n	粟	70	platinum
1105	14661274-n	聞	70	xenon
1106	14980579-n	良	70	oil
1107	15236475-n	進	70	season
1108	00856847-n	醤	69	gayness
1109	01184932-a	量	69	heavy
1110	01780202-v	利	69	fear
1111	02016523-v	ល	69	enter
1112	02032953-a	ビ	69	left
1113	02058794-a	仙	69	risky
1114	02202854-a	兄	69	sixth
1115	02603699-v	再	69	be
1116	02709367-n	古	69	anchor
1117	02892767-n	品	69	bra
1118	02913152-n	夏	69	edifice
1119	03790512-n	度	69	bike
1120	03877845-n	空	69	palace
1121	04407435-n	թ	69	temple
1122	04507155-n	စ	69	umbrella
1123	04572344-n	버	69	well
1124	05387167-n	연	69	gutbread
1125	05549576-n	피	69	armpit
1126	05553288-n	ట	69	chest
1127	06906028-n	太	69	Sango
1128	06977434-n	始	69	Ancient
1129	06995135-n	宅	69	Shona
1130	06995664-n	申	69	Tswana
1131	07573696-n	購	69	meal
1132	07765073-n	შ	69	date
1133	09747722-n	Τ	69	German
1134	10587605-n	ζ	69	shepherd
1135	14628494-n	ひ	69	americium
1136	14635290-n	七	69	cobalt
1137	15121625-n	ስ	69	future
1138	15168185-n	በ	69	midnight
1139	15188154-n	ን	69	Easter
1140	01426397-v	እ	68	bed
1141	02909870-n	메	68	bucket
1142	03003344-a	표	68	English
1143	03720163-n	현	68	map
1144	05602835-n	န	68	cheek
1145	06037666-n	ങ	68	biology
1146	06214744-n	ந	68	communism
1147	06919712-n	ฤ	68	Navajo
1148	06938190-n	ख	68	Tongan
1149	06938294-n	미	68	Tahitian
1150	07092592-n	작	68	verse
1151	07133701-n	호	68	conversation
1152	07519253-n	გ	68	fear
1153	07724943-n	永	68	bean
1154	08749650-n	내	68	Saint
1155	09238926-n	들	68	cave
1156	10212501-n	크	68	interpreter
1157	11624531-n	Я	68	spruce
1158	12587803-n	ぼ	68	coconut
1159	12731714-n	ゼ	68	poplar
1160	14625458-n	テ	68	metal
1161	14629998-n	バ	68	barium
1162	14643118-n	モ	68	lanthanum
1163	14659512-n	伴	68	wolfram
1164	15121406-n	幼	68	past
1165	00028565-v	庭	67	smile
1166	00797299-a	摂	67	drunk
1167	02127052-n	狭	67	lynx
1168	02128385-n	玉	67	leopard
1169	02158826-a	畑	67	blind
1170	02283201-n	竹	67	lep
1171	03088164-n	認	67	condom
1172	03249342-n	越	67	pharmacy
1173	03438257-n	近	67	glass
1174	04081281-n	郎	67	eatery
1175	04857083-n	釈	67	courage
1176	04980008-n	陸	67	odor
1177	05416198-n	篇	67	spit
1178	05519085-n	ည	67	womb
1179	05809745-n	ট	67	tradition
1180	06336904-n	徐	67	surname
1181	06500937-n	만	67	passport
1182	07756951-n	면	67	watermelon
1183	07803093-n	본	67	barley
1184	07847198-n	아	67	cream
1185	10053004-n	확	67	emperor
1186	10599806-n	ტ	67	singer
1187	13983515-n	ふ	67	dark
1188	14631134-n	之	67	berkelium
1189	14633957-n	今	67	cerium
1190	14634232-n	十	67	caesium
1191	14645882-n	妻	67	neodymium
1192	15155891-n	昇	67	morrow
1193	15156001-n	構	67	today
1194	00300247-r	父	66	maybe
1195	00597915-v	著	66	learn
1196	01445932-v	衛	66	bite
1197	02083672-n	補	66	bitch
1198	02212062-n	ස	66	wasp
1199	02403003-n	գ	66	ox
1200	02560548-a	ธ	66	wide
1201	02649830-v	个	66	live
1202	02872752-n	了	66	boot
1203	02916350-n	份	66	slug
1204	02957276-a	佰	66	Russian
1205	03236735-n	划	66	dress
1206	03249569-n	列	66	drum
1207	03322099-n	劉	66	farm
1208	03461385-n	务	66	market
1209	03906997-n	华	66	pen
1210	04389033-n	卷	66	tank
1211	04960277-n	又	66	black
1212	04970059-n	司	66	purple
1213	05521514-n	团	66	cunt
1214	05578095-n	场	66	heel
1215	06070929-n	堤	66	ecology
1216	06168855-n	宣	66	etymology
1217	07635155-n	展	66	cookie
1218	07881800-n	帕	66	drink
1219	07906111-n	思	66	vodka
1220	09529999-n	报	66	Vishnu
1221	09728403-n	挥	66	Russian
1222	09857200-n	接	66	bishop
1223	12392070-n	援	66	nettle
1224	13163250-n	易	66	branch
1225	13751829-n	条	66	billion
1226	13840719-n	板	66	politics
1227	14631502-n	歷	66	bismuth
1228	14638517-n	源	66	germanium
1229	14877585-n	甸	66	gas
1230	15166191-n	票	66	arvo
1231	15250178-n	种	66	birthday
1232	15266911-n	稱	66	end
1233	00021878-r	穆	65	at times
1234	00752493-v	終	65	ask
1235	01263013-a	终	65	cruel
1236	01345109-v	经	65	shut
1237	01546111-v	综	65	stand
1238	01937909-n	缅	65	leech
1239	02144835-v	编	65	hide
1240	02203373-a	网	65	tenth
1241	02541302-a	而	65	ill
1242	03931044-n	董	65	image
1243	04005630-n	见	65	prison
1244	04405907-n	规	65	telly
1245	05313822-n	許	65	eyelid
1246	05404336-n	选	65	cum
1247	05474346-n	醍	65	nerve
1248	05687338-n	醐	65	problem
1249	06949591-n	鐵	65	Old
1250	06965961-n	镇	65	Canadian
1251	07473441-n	餘	65	victory
1252	07546465-n	馆	65	hate
1253	08905186-n	／	65	Goa
1254	09972010-n	；	65	cousin
1255	10225219-n	될	65	judge
1256	11959632-n	임	65	artichoke
1257	13257511-n	젝	65	GDP
1258	14636220-n	중	65	curium
1259	14638041-n	콜	65	gadolinium
1260	14638256-n	파	65	gallium
1261	14639556-n	ء	65	celtium
1262	14640222-n	忠	65	holmium
1263	14641223-n	火	65	indium
1264	14642219-n	သ	65	iridium
1265	14648754-n	ষ	65	palladium
1266	14653831-n	治	65	scandium
1267	14906500-n	음	65	hemp
1268	14956325-n	주	65	mud
1269	00033922-r	티	64	soon
1270	00035385-r	అ	64	barely
1271	00113818-a	ณ	64	mad
1272	00607780-v	ച	64	recall
1273	00766234-n	आ	64	crime
1274	00815686-v	ण	64	reply
1275	01153305-n	ū	64	federation
1276	01436003-a	ទ	64	low
1277	01774136-v	০	64	hate
1278	02022953-a	같	64	poor
1279	02363005-n	거	64	beaver
1280	02469472-n	변	64	tadpole
1281	02814860-n	생	64	beacon
1282	02849154-n	요	64	cover
1283	02883344-n	접	64	box
1284	02897820-n	토	64	brick
1285	02957469-a	ជ	64	German
1286	03064758-n	တ	64	casket
1287	03080497-n	ት	64	compass
1288	03967562-n	አ	64	plough
1289	04266486-n	Є	64	spade
1290	04424418-n	۴	64	thing
1291	05006898-n	۶	64	sex
1292	05611302-n	۸	64	wit
1293	06973334-n	°	64	Pali
1294	07742704-n	ල	64	berry
1295	07767344-n	달	64	olive
1296	08960363-n	보	64	Benghazi
1297	08983105-n	않	64	Warsaw
1298	09008454-n	키	64	Piter
1299	09019355-n	Σ	64	Abkhazia
1300	09033936-n	ภ	64	Damascus
1301	09275016-n	İ	64	Eurasia
1302	09681351-n	њ	64	Jew
1303	10078806-n	հ	64	farmer
1304	11462526-n	थ	64	storm
1305	13661820-n	ध	64	euro
1306	14637339-n	ပ	64	fermium
1307	14644063-n	관	64	lutetium
1308	14645092-n	운	64	unnilunium
1309	14647722-n	យ	64	nobelium
1310	14657047-n	Ş	64	masurium
1311	14657228-n	է	64	sylvanium
1312	14657818-n	ず	64	thallium
1313	14702875-n	へ	64	glue
1314	00004475-n	ソ	63	being
1315	00018526-v	ヘ	63	wake
1316	00035058-r	ヶ	63	oft
1317	00464894-n	与	63	golf
1318	00482298-n	伯	63	tennis
1319	00631391-a	備	63	right
1320	00953559-n	児	63	fight
1321	01028748-v	八	63	call
1322	01086545-a	則	63	leer
1323	01090335-v	千	63	fight
1324	01143838-v	四	63	hunt
1325	01328702-n	埼	63	virus
1326	01616318-n	増	63	vulture
1327	01693783-n	守	63	chameleon
1328	01877134-n	性	63	kangaroo
1329	02002075-n	持	63	stork
1330	02081571-n	教	63	morse
1331	02210119-v	断	63	receive
1332	02432983-n	末	63	elk
1333	02761392-n	校	63	robot
1334	02821627-n	概	63	bedroom
1335	03584829-n	浜	63	iron
1336	03632277-n	清	63	ladder
1337	03800563-n	煮	63	museum
1338	05538016-n	発	63	anus
1339	06536389-n	稗	63	translation
1340	06613686-n	穫	63	film
1341	06687883-n	笠	63	visa
1342	07428954-n	統	63	quake
1343	07735510-n	絵	63	pumpkin
1344	07783967-n	脚	63	eel
1345	07815588-n	茹	63	pepper
1346	08145553-n	菊	63	post office
1347	08787240-n	護	63	Sparta
1348	08902196-n	負	63	Karnataka
1349	09394007-n	足	63	planet
1350	09877124-n	転	63	comrade
1351	10112129-n	Ç	63	monk
1352	13112664-n	金	63	bush
1353	14365356-n	ผ	63	fever
1354	14519366-n	ฟ	63	climate
1355	14633037-n	ප	63	californium
1356	14641397-n	ぎ	63	iodine
1357	14646403-n	ね	63	neptunium
1358	00339934-v	具	62	pass
1359	00759694-n	及	62	terrorism
1360	00933154-a	導	62	dear
1361	01214265-v	属	62	take
1362	01322604-n	承	62	pup
1363	02021905-a	更	62	rich
1364	02076196-n	案	62	seal
1365	02174896-a	植	62	simple
1366	02395694-n	無	62	shoat
1367	02403325-n	破	62	bull
1368	02407959-n	紀	62	buffalo
1369	03682487-n	詞	62	lock
1370	03932203-n	過	62	piece
1371	04306847-n	青	62	statue
1372	04335435-n	अ	62	tram
1373	04577769-n	इ	62	whip
1374	05546040-n	അ	62	jaw
1375	06427387-n	록	62	encyclopedia
1376	06642138-n	선	62	news
1377	06930427-n	식	62	Cantonese
1378	07750586-n	턴	62	almond
1379	08794366-n	դ	62	Gaza
1380	08846324-n	এ	62	Vienna
1381	08919949-n	জ	62	Carthage
1382	12267677-n	හ	62	acorn
1383	13878634-n	ė	62	square
1384	14537054-n	ხ	62	drought
1385	14643323-n	Ł	62	lawrencium
1386	14645661-n	워	62	molybdenum
1387	14864360-n	저	62	fat
1388	15055181-n	추	62	steam
1389	00294245-v	அ	61	bloom
1390	00442361-a	ங	61	far
1391	00959827-v	फ	61	translate
1392	01558594-n	ष	61	blackbird
1393	01893825-n	ള	61	hedgehog
1394	02309337-n	ë	61	caterpillar
1395	02866578-n	চ	61	bomb
1396	02871525-n	ղ	61	bookshop
1397	02980625-n	든	61	rook
1398	03925226-n	레	61	photo
1399	03964744-n	열	61	toy
1400	04143897-n	케	61	scarf
1401	04490091-n	အ	61	truck
1402	05279026-n	Β	61	rib
1403	05405751-n	ژ	61	sweat
1404	05562249-n	۳	61	thigh
1405	06325145-n	இ	61	preposition
1406	06894544-n	ண	61	Artificial
1407	06918832-n	른	61	Nahuatl
1408	06944156-n	비	61	Church
1409	06961681-n	션	61	Cornish
1410	06978422-n	ų	61	Chechen
1411	07527352-n	|	61	joy
1412	08256968-n	#	61	party
1413	08715110-n	វ	61	Southeast Asia
1414	08806897-n	उ	61	Rome
1415	08817418-n	২	61	Belgrade
1416	08890097-n	၁	61	Scotland
1417	09390424-n	၊	61	Persian Gulf
1418	09532214-n	ണ	61	Buddha
1419	10150940-n	Ο	61	guest
1420	11986306-n	ც	61	lettuce
1421	13089631-n	წ	61	spine
1422	13388245-n	객	61	coin
1423	13393762-n	계	61	bill
1424	14561102-n	니	61	corruption
1425	14636822-n	산	61	einsteinium
1426	14662281-n	실	61	zirconium
1427	15129927-n	բ	61	time
1428	15164957-n	澤	61	day
1429	00062133-n	ព	60	climax
1430	00109660-v	ฮ	60	change
1431	00210848-a	ដ	60	bald
1432	00594337-v	ሚ	60	know
1433	00789448-v	ማ	60	call
1434	00834259-v	ም	60	lie
1435	01494310-v	ር	60	put
1436	01513512-a	ብ	60	strong
1437	01547001-v	ነ	60	lie
1438	01758308-n	ኝ	60	nib
1439	01918984-a	ይ	60	quiet
1440	01963942-v	ዳ	60	hop
1441	02229544-n	ገ	60	cricket
1442	02396427-n	ጠ	60	wild boar
1443	02450034-n	ጥ	60	marten
1444	03093427-n	።	60	consulate
1445	03110669-n	ゃ	60	horn
1446	03485794-n	ズ	60	handkerchief
1447	03728437-n	ヒ	60	match
1448	03928116-n	ミ	60	piano
1449	04118776-n	付	60	rule
1450	04272054-n	供	60	specs
1451	05410646-n	劇	60	insulin
1452	05521636-n	動	60	vulva
1453	05565064-n	升	60	fist
1454	06377442-n	半	60	poem
1455	06946497-n	垣	60	Germanic
1456	06960298-n	変	60	Celtic
1457	07296428-n	夜	60	change
1458	07712063-n	奈	60	sweet potato
1459	07744811-n	岐	60	blackberry
1460	07923748-n	嶺	60	juice
1461	08329453-n	引	60	court
1462	08814474-n	晴	60	Bucharest
1463	08954611-n	棚	60	Korea
1464	09020792-n	橋	60	Bishkek
1465	09119277-n	橘	60	NY
1466	09358226-n	氷	60	moon
1467	09388848-n	法	60	cape
1468	09428293-n	洗	60	coast
1469	09481523-n	温	60	Yangtze
1470	09765278-n	灘	60	actor
1471	09896685-n	稲	60	carpenter
1472	10278128-n	組	60	ma
1473	10353355-n	総	60	nephew
1474	10357613-n	船	60	niece
1475	10448983-n	葉	60	cop
1476	10467179-n	藻	60	president
1477	12633638-n	象	60	apple tree
1478	14646942-n	走	60	niobium
1479	00009966-r	軽	59	please
1480	00031899-r	迫	59	very
1481	00118567-a	重	59	alive
1482	00292937-a	釜	59	busy
1483	00773402-n	闘	59	rape
1484	00855674-n	除	59	onanism
1485	01128193-v	雑	59	protect
1486	01212469-a	頃	59	low
1487	01216670-v	風	59	hold
1488	01343918-a	黄	59	absorbing
1489	01770393-n	근	59	scorpion
1490	02268443-n	단	59	darner
1491	02338145-n	우	59	muskrat
1492	02410393-a	재	59	broad
1493	02410702-n	통	59	buffalo
1494	02418686-v	ට	59	play
1495	02756558-v	ը	59	rain
1496	02962545-n	ൽ	59	card
1497	03365592-n	Ι	59	floor
1498	03386011-n	ξ	59	fort
1499	03455033-n	但	59	tomb
1500	03539433-n	制	59	horseshoe
1501	04118021-n	博	59	mat
1502	04230808-n	去	59	skirt
1503	04306080-n	基	59	station
1504	04371225-n	央	59	swimming pool
1505	04377057-n	客	59	system
1506	04397768-n	廉	59	teakettle
1507	05517406-n	弦	59	scrotum
1508	05526957-n	揚	59	prepuce
1509	06084469-n	支	59	chemistry
1510	06090869-n	昆	59	physics
1511	06402031-n	河	59	diary
1512	06782019-n	泉	59	opinion
1513	06916117-n	相	59	Cherokee
1514	06955706-n	督	59	Gothic
1515	06988307-n	臣	59	Aramaic
1516	07155661-n	至	59	idiom
1517	07575076-n	蓋	59	lunch
1518	07719839-n	親	59	beet
1519	07932841-n	請	59	tea
1520	07997703-n	遭	59	class
1521	08366202-n	郵	59	socialism
1522	08615374-n	မ	59	park
1523	08730895-n	ց	59	Taipei
1524	08955951-n	։	59	Seoul
1525	08960099-n	ɛ	59	Tripoli
1526	08984332-n	속	59	Breslau
1527	09322454-n	업	59	Jupiter
1528	10004282-n	점	59	dentist
1529	10093658-n	준	59	fisher
1530	11193392-n	화	59	Moses
1531	11250056-n	პ	59	Pythagoras
1532	12761284-n	ქ	59	mango
1533	13136556-n	ף	59	nut
1534	14629561-n	Ε	59	astatine
1535	14635092-n	Η	59	chromium
1536	14661977-n	হ	59	zinc
1537	14759722-n	គ	59	leather
1538	15094294-n	널	59	wax
1539	00048475-r	당	58	now
1540	00061203-r	두	58	after
1541	00074834-v	처	58	bleed
1542	00262792-a	템	58	brave
1543	00419289-a	ծ	58	dirty
1544	00501304-n	û	58	snooker
1545	00613393-v	গ	58	abandon
1546	00674607-v	ভ	58	take
1547	00749230-a	ග	58	easy
1548	00991838-a	ခ	58	fat
1549	01158872-v	၄	58	use
